day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-2;0;STARFRUIT;4997;26;;;;;5003;26;;;;;5000.0;0.0
-2;0;AMETHYSTS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;0.0
-2;100;STARFRUIT;4997;20;;;;;4998;1;5004;20;;;4997.5;2.86328125
-2;100;AMETHYSTS;10000;5;9995;20;;;10005;20;;;;;10002.5;-8.0
-2;200;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;-8.0
-2;200;STARFRUIT;4997;31;;;;;5004;31;;;;;5000.5;2.53662109375
-2;300;AMETHYSTS;9996;1;9995;26;;;10004;1;10005;26;;;10000.0;-8.0
-2;300;STARFRUIT;4997;27;;;;;5004;27;;;;;5000.5;2.40576171875
-2;400;AMETHYSTS;9995;20;;;;;9998;3;10002;9;10005;20;9996.5;-8.0
-2;400;STARFRUIT;4997;20;;;;;5002;9;5004;20;;;4999.5;2.92578125
-2;500;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;-8.0
-2;500;STARFRUIT;5002;1;4997;30;;;5004;30;;;;;5003.0;2.56591796875
-2;600;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;-8.0
-2;600;STARFRUIT;4997;30;;;;;5004;30;;;;;5000.5;2.388671875
-2;700;AMETHYSTS;9998;5;9996;1;9995;27;10004;1;10005;27;;;10001.0;-8.0
-2;700;STARFRUIT;4998;5;4997;28;;;5004;28;;;;;5001.0;2.603515625
-2;800;AMETHYSTS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;-8.0
-2;800;STARFRUIT;5003;1;4997;23;;;5004;23;;;;;5003.5;2.37255859375
-2;900;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;-8.0
-2;900;STARFRUIT;4997;30;;;;;5004;30;;;;;5000.5;2.22802734375
-2;1000;STARFRUIT;4998;2;4997;22;;;5004;24;;;;;5001.0;2.11181640625
-2;1000;AMETHYSTS;10002;1;9996;2;9995;22;10004;2;10005;22;;;10003.0;-8.0
-2;1100;AMETHYSTS;9998;3;9996;1;9995;25;10004;1;10005;25;;;10001.0;-8.0
-2;1100;STARFRUIT;4998;3;4997;25;;;5004;26;;;;;5001.0;-0.796875
-2;1200;STARFRUIT;4999;6;4998;28;;;5004;1;5005;27;;;5001.5;-1.2314453125
-2;1200;AMETHYSTS;9998;6;9996;1;9995;27;10004;1;10005;27;;;10001.0;-8.0
-2;1300;AMETHYSTS;10000;3;9995;23;;;10005;23;;;;;10002.5;-8.0
-2;1300;STARFRUIT;5000;3;4997;23;;;5004;23;;;;;5002.0;-0.642578125
-2;1400;STARFRUIT;4997;26;;;;;5004;26;;;;;5000.5;-5.8046875
-2;1400;AMETHYSTS;9995;26;;;;;9998;3;10005;26;;;9996.5;-8.0
-2;1500;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;-8.0
-2;1500;STARFRUIT;4997;27;;;;;5004;27;;;;;5000.5;-39.6953125
-2;1600;STARFRUIT;4998;1;4997;23;;;5004;24;;;;;5001.0;-41.015625
-2;1600;AMETHYSTS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;-4.0
-2;1700;AMETHYSTS;9995;28;;;;;10002;6;10005;28;;;9998.5;-4.0
-2;1700;STARFRUIT;4997;28;;;;;5002;6;5004;28;;;4999.5;-41.3203125
-2;1800;STARFRUIT;5003;1;4998;10;4997;24;5004;24;;;;;5003.5;-38.96875
-2;1800;AMETHYSTS;9998;10;9995;24;;;10005;24;;;;;10001.5;-4.0
-2;1900;AMETHYSTS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;-4.0
-2;1900;STARFRUIT;5002;1;4997;26;;;5004;26;;;;;5003.0;-30.109375
-2;2000;STARFRUIT;5002;1;4997;31;;;5004;31;;;;;5003.0;-27.9375
-2;2000;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;-4.0
-2;2100;AMETHYSTS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;-4.0
-2;2100;STARFRUIT;4997;22;;;;;5004;22;;;;;5000.5;-26.2734375
-2;2200;STARFRUIT;4997;26;;;;;5003;1;5004;25;;;5000.0;-23.8359375
-2;2200;AMETHYSTS;10002;1;9996;1;9995;25;10004;1;10005;25;;;10003.0;-4.0
-2;2300;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;-4.0
-2;2300;STARFRUIT;4997;30;;;;;5004;30;;;;;5000.5;-35.171875
-2;2400;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;-4.0
-2;2400;STARFRUIT;4998;30;;;;;5005;30;;;;;5001.5;-43.9765625
-2;2500;AMETHYSTS;9995;21;;;;;9998;1;10005;21;;;9996.5;-4.0
-2;2500;STARFRUIT;4997;21;;;;;5004;21;;;;;5000.5;-20.1953125
-2;2600;AMETHYSTS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;-6.0
-2;2600;STARFRUIT;4996;22;;;;;5003;22;;;;;4999.5;-3.6171875
-2;2700;AMETHYSTS;9996;1;9995;26;;;10002;8;10004;1;10005;26;9999.0;-6.0
-2;2700;STARFRUIT;4996;27;;;;;5001;8;5002;1;5003;26;4998.5;-2.0703125
-2;2800;AMETHYSTS;9995;28;;;;;10005;28;;;;;10000.0;-6.0
-2;2800;STARFRUIT;4996;28;;;;;5003;28;;;;;4999.5;1.6484375
-2;2900;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;-6.0
-2;2900;STARFRUIT;4996;30;;;;;5003;30;;;;;4999.5;-0.203125
-2;3000;AMETHYSTS;10002;3;9996;2;9995;26;10004;2;10005;26;;;10003.0;-6.0
-2;3000;STARFRUIT;4996;28;;;;;5002;2;5003;26;;;4999.0;-2.09375
-2;3100;AMETHYSTS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;-6.0
-2;3100;STARFRUIT;5002;1;4997;25;;;5003;2;5004;23;;;5002.5;-20.6328125
-2;3200;STARFRUIT;4996;28;;;;;5003;28;;;;;4999.5;-10.8671875
-2;3200;AMETHYSTS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;-6.0
-2;3300;STARFRUIT;4996;20;;;;;5003;20;;;;;4999.5;-10.96875
-2;3300;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;-10.0
-2;3400;STARFRUIT;4997;23;;;;;5003;1;5004;22;;;5000.0;-38.1796875
-2;3400;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;-20.0
-2;3500;STARFRUIT;5003;1;4997;31;;;5004;31;;;;;5003.5;-44.59375
