timestamp;buyer;seller;symbol;currency;price;quantity
0;;;AMETHYSTS;SEASHELLS;10004.0;1
0;;;STARFRUIT;SEASHELLS;4952.0;1
1100;;;AMETHYSTS;SEASHELLS;9996.0;2
1300;;;STARFRUIT;SEASHELLS;4949.0;3
1700;;;AMETHYSTS;SEASHELLS;10002.0;1
1800;;;AMETHYSTS;SEASHELLS;10002.0;1
1900;;;STARFRUIT;SEASHELLS;4950.0;1
2000;;;AMETHYSTS;SEASHELLS;9998.0;1
2400;;;STARFRUIT;SEASHELLS;4947.0;1
2500;;;STARFRUIT;SEASHELLS;4949.0;2
2900;;;AMETHYSTS;SEASHELLS;9996.0;1
2900;;;AMETHYSTS;SEASHELLS;9996.0;11
3000;;;STARFRUIT;SEASHELLS;4953.0;1
3000;;;AMETHYSTS;SEASHELLS;10005.0;1
3100;;;AMETHYSTS;SEASHELLS;9996.0;2
3100;;;STARFRUIT;SEASHELLS;4947.0;2
3200;;;AMETHYSTS;SEASHELLS;9996.0;1
3200;;;STARFRUIT;SEASHELLS;4947.0;1
3200;;;STARFRUIT;SEASHELLS;4947.0;1
3200;;;AMETHYSTS;SEASHELLS;9996.0;1
3700;;;AMETHYSTS;SEASHELLS;10002.0;1
3800;;;STARFRUIT;SEASHELLS;4952.0;9
3800;;;STARFRUIT;SEASHELLS;4952.0;1
3800;;;AMETHYSTS;SEASHELLS;9996.0;1
3800;;;STARFRUIT;SEASHELLS;4952.0;10
4200;;;AMETHYSTS;SEASHELLS;9996.0;2
4300;;;STARFRUIT;SEASHELLS;4951.0;1
4300;;;AMETHYSTS;SEASHELLS;9995.0;2
4500;;;STARFRUIT;SEASHELLS;4946.0;1
4800;;;STARFRUIT;SEASHELLS;4952.0;2
4800;;;AMETHYSTS;SEASHELLS;10004.0;2
4900;;;STARFRUIT;SEASHELLS;4950.0;7
4900;;;STARFRUIT;SEASHELLS;4950.0;9
5100;;;STARFRUIT;SEASHELLS;4951.0;4
5300;;;STARFRUIT;SEASHELLS;4952.0;1
5700;;;STARFRUIT;SEASHELLS;4948.0;1
6100;;;STARFRUIT;SEASHELLS;4948.0;1
6500;;;AMETHYSTS;SEASHELLS;9998.0;1
6600;;;AMETHYSTS;SEASHELLS;10004.0;2
6700;;;AMETHYSTS;SEASHELLS;10002.0;3
6900;;;STARFRUIT;SEASHELLS;4952.0;1
6900;;;AMETHYSTS;SEASHELLS;10002.0;1
7000;;;STARFRUIT;SEASHELLS;4954.0;2
7000;;;AMETHYSTS;SEASHELLS;10005.0;2
7200;;;STARFRUIT;SEASHELLS;4948.0;5
7300;;;AMETHYSTS;SEASHELLS;10004.0;2
7300;;;STARFRUIT;SEASHELLS;4954.0;2
7400;;;STARFRUIT;SEASHELLS;4947.0;1
7700;;;STARFRUIT;SEASHELLS;4946.0;1
8100;;;AMETHYSTS;SEASHELLS;9996.0;1
8100;;;AMETHYSTS;SEASHELLS;9996.0;1
8100;;;STARFRUIT;SEASHELLS;4952.0;1
8600;;;STARFRUIT;SEASHELLS;4944.0;1
8800;;;STARFRUIT;SEASHELLS;4948.0;1
8800;;;AMETHYSTS;SEASHELLS;9998.0;1
9200;;;STARFRUIT;SEASHELLS;4951.0;1
10300;;;AMETHYSTS;SEASHELLS;9998.0;1
10300;;;STARFRUIT;SEASHELLS;4951.0;1
10300;;;STARFRUIT;SEASHELLS;4948.0;1
10400;;;AMETHYSTS;SEASHELLS;10002.0;1
10800;;;AMETHYSTS;SEASHELLS;10004.0;10
10800;;;AMETHYSTS;SEASHELLS;10004.0;2
11100;;;AMETHYSTS;SEASHELLS;9998.0;4
11100;;;AMETHYSTS;SEASHELLS;9998.0;3
11400;;;AMETHYSTS;SEASHELLS;9996.0;1
11400;;;STARFRUIT;SEASHELLS;4945.0;2
11500;;;AMETHYSTS;SEASHELLS;10002.0;2
11800;;;STARFRUIT;SEASHELLS;4950.0;1
12000;;;AMETHYSTS;SEASHELLS;10002.0;1
12500;;;STARFRUIT;SEASHELLS;4943.0;1
13000;;;AMETHYSTS;SEASHELLS;10002.0;1
13000;;;STARFRUIT;SEASHELLS;4949.0;1
13200;;;AMETHYSTS;SEASHELLS;9998.0;2
13300;;;STARFRUIT;SEASHELLS;4951.0;2
13300;;;AMETHYSTS;SEASHELLS;10005.0;2
13600;;;STARFRUIT;SEASHELLS;4944.0;1
14200;;;STARFRUIT;SEASHELLS;4942.0;1
14300;;;STARFRUIT;SEASHELLS;4949.0;2
15200;;;STARFRUIT;SEASHELLS;4943.0;1
15300;;;AMETHYSTS;SEASHELLS;10002.0;1
15400;;;AMETHYSTS;SEASHELLS;9998.0;1
15600;;;AMETHYSTS;SEASHELLS;10004.0;2
15600;;;STARFRUIT;SEASHELLS;4950.0;2
15700;;;AMETHYSTS;SEASHELLS;10002.0;1
15800;;;STARFRUIT;SEASHELLS;4949.0;1
16200;;;STARFRUIT;SEASHELLS;4950.0;1
16200;;;AMETHYSTS;SEASHELLS;9998.0;1
16300;;;AMETHYSTS;SEASHELLS;10004.0;1
16400;;;AMETHYSTS;SEASHELLS;10002.0;1
16600;;;STARFRUIT;SEASHELLS;4946.0;3
16600;;;STARFRUIT;SEASHELLS;4946.0;1
16600;;;STARFRUIT;SEASHELLS;4945.0;1
16700;;;AMETHYSTS;SEASHELLS;10002.0;1
16700;;;STARFRUIT;SEASHELLS;4946.0;1
16700;;;STARFRUIT;SEASHELLS;4946.0;4
16800;;;AMETHYSTS;SEASHELLS;9995.0;5
17300;;;STARFRUIT;SEASHELLS;4950.0;2
17300;;;STARFRUIT;SEASHELLS;4950.0;1
18200;;;STARFRUIT;SEASHELLS;4945.0;1
19300;;;AMETHYSTS;SEASHELLS;9996.0;1
19300;;;STARFRUIT;SEASHELLS;4945.0;1
19700;;;AMETHYSTS;SEASHELLS;10002.0;1
19700;;;STARFRUIT;SEASHELLS;4946.0;1
19900;;;STARFRUIT;SEASHELLS;4950.0;5
20100;;;AMETHYSTS;SEASHELLS;10002.0;1
20100;;;AMETHYSTS;SEASHELLS;10002.0;4
20200;;;AMETHYSTS;SEASHELLS;9998.0;1
20300;;;STARFRUIT;SEASHELLS;4946.0;1
20500;;;AMETHYSTS;SEASHELLS;9998.0;1
20700;;;AMETHYSTS;SEASHELLS;10002.0;1
21200;;;AMETHYSTS;SEASHELLS;9998.0;1
21300;;;AMETHYSTS;SEASHELLS;9996.0;1
