timestamp;buyer;seller;symbol;currency;price;quantity
100;;;AMETHYSTS;SEASHELLS;10002.0;1
100;;;STARFRUIT;SEASHELLS;4875.0;1
200;;;STARFRUIT;SEASHELLS;4876.0;1
200;;;AMETHYSTS;SEASHELLS;10004.0;1
300;;;STARFRUIT;SEASHELLS;4873.0;1
400;;;STARFRUIT;SEASHELLS;4871.0;5
500;;;STARFRUIT;SEASHELLS;4874.0;1
800;;;AMETHYSTS;SEASHELLS;9996.0;1
800;;;STARFRUIT;SEASHELLS;4871.0;1
1000;;;STARFRUIT;SEASHELLS;4875.0;10
1200;;;STARFRUIT;SEASHELLS;4868.0;1
1300;;;DIVING_GEAR;SEASHELLS;98906.0;3
1300;;;AMETHYSTS;SEASHELLS;10002.0;1
1500;;;STARFRUIT;SEASHELLS;4874.0;1
1500;;;AMETHYSTS;SEASHELLS;9998.0;4
1700;;;STARFRUIT;SEASHELLS;4870.0;2
1900;;;STARFRUIT;SEASHELLS;4868.0;1
1900;;;PINA_COLADAS;SEASHELLS;14998.0;13
2100;;;COCONUTS;SEASHELLS;7998.0;53
2600;;;AMETHYSTS;SEASHELLS;10002.0;4
2600;;;AMETHYSTS;SEASHELLS;10002.0;1
2600;;;STARFRUIT;SEASHELLS;4872.0;2
2600;;;STARFRUIT;SEASHELLS;4872.0;4
3000;;;STARFRUIT;SEASHELLS;4874.0;1
3100;;;AMETHYSTS;SEASHELLS;9998.0;1
3200;;;AMETHYSTS;SEASHELLS;10002.0;5
3200;;;BERRIES;SEASHELLS;3921.0;9
3300;;;AMETHYSTS;SEASHELLS;10002.0;1
3500;;;STARFRUIT;SEASHELLS;4874.0;10
3500;;;BERRIES;SEASHELLS;3914.0;6
3500;;;STARFRUIT;SEASHELLS;4874.0;10
3700;;;BERRIES;SEASHELLS;3914.0;10
3700;;;AMETHYSTS;SEASHELLS;9998.0;1
4200;;;STARFRUIT;SEASHELLS;4876.0;6
4200;;;AMETHYSTS;SEASHELLS;10002.0;5
4200;;;STARFRUIT;SEASHELLS;4876.0;1
4900;;;STARFRUIT;SEASHELLS;4871.0;7
5100;;;DIVING_GEAR;SEASHELLS;98967.0;2
5400;;;AMETHYSTS;SEASHELLS;10005.0;1
5400;;;STARFRUIT;SEASHELLS;4879.0;1
5400;;;STARFRUIT;SEASHELLS;4879.0;15
5400;;;BERRIES;SEASHELLS;3920.0;4
5500;;;AMETHYSTS;SEASHELLS;10004.0;1
5700;;;BERRIES;SEASHELLS;3920.0;19
6200;;;STARFRUIT;SEASHELLS;4878.0;1
6700;;;AMETHYSTS;SEASHELLS;10004.0;1
6700;;;STARFRUIT;SEASHELLS;4879.0;1
6800;;;STARFRUIT;SEASHELLS;4873.0;1
6900;;;BERRIES;SEASHELLS;3920.0;19
7100;;;COCONUTS;SEASHELLS;7996.0;56
7200;;;AMETHYSTS;SEASHELLS;10002.0;1
7200;;;AMETHYSTS;SEASHELLS;9996.0;1
7600;;;AMETHYSTS;SEASHELLS;10002.0;1
8000;;;STARFRUIT;SEASHELLS;4875.0;1
8100;;;BERRIES;SEASHELLS;3922.0;4
8200;;;STARFRUIT;SEASHELLS;4871.0;1
8200;;;AMETHYSTS;SEASHELLS;9996.0;1
8300;;;COCONUTS;SEASHELLS;7992.0;46
8900;;;BERRIES;SEASHELLS;3923.0;1
9100;;;AMETHYSTS;SEASHELLS;9998.0;1
9300;;;COCONUTS;SEASHELLS;7993.0;6
9400;;;AMETHYSTS;SEASHELLS;10002.0;1
9500;;;AMETHYSTS;SEASHELLS;10002.0;1
9700;;;AMETHYSTS;SEASHELLS;10002.0;1
9900;;;STARFRUIT;SEASHELLS;4867.0;9
10000;;;PINA_COLADAS;SEASHELLS;14980.0;4
10200;;;DIVING_GEAR;SEASHELLS;98942.0;3
10300;;;STARFRUIT;SEASHELLS;4873.0;1
10300;;;AMETHYSTS;SEASHELLS;10004.0;1
10500;;;COCONUTS;SEASHELLS;7991.0;10
10700;;;AMETHYSTS;SEASHELLS;9998.0;3
10800;;;BERRIES;SEASHELLS;3915.0;14
11000;;;STARFRUIT;SEASHELLS;4867.0;9
11500;;;BERRIES;SEASHELLS;3916.0;18
11900;;;AMETHYSTS;SEASHELLS;10002.0;1
